,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
68,SP1,2019-09-29,17:30,Levante,Osasuna,1,1,D,LIG11,LIG13,Valencia,,39.4699075,-0.3762881,81
69,SP1,2019-09-29,20:00,Sevilla,Sociedad,3,2,H,LIG15,LIG16,Seville,,37.3890924,-5.9844589,83
70,SP1,2019-10-04,20:00,Betis,Eibar,1,1,D,LIG4,LIG6,Seville,,37.3890924,-5.9844589,78
71,SP1,2019-10-05,12:00,Leganes,Levante,1,2,A,LIG10,LIG11,Leganes,,40.3319506,-3.7686545,76
72,SP1,2019-10-05,15:00,Real Madrid,Granada,4,2,H,LIG14,LIG9,Madrid,,40.4167754,-3.7037902,76
73,SP1,2019-10-05,17:30,Valencia,Alaves,2,1,H,LIG17,LIG0,Valencia,,39.4699075,-0.3762881,75
74,SP1,2019-10-05,20:00,Osasuna,Villarreal,2,1,H,LIG13,LIG19,Pamplona,,42.812526,-1.6457745,62
75,SP1,2019-10-06,11:00,Mallorca,Espanol,2,0,H,LIG12,LIG7,Palma,,39.5696005,2.6501603,74
76,SP1,2019-10-06,13:00,Celta,Ath Bilbao,1,0,H,LIG5,LIG1,Vigo,,42.24059889999999,-8.7207268,65
77,SP1,2019-10-06,15:00,Valladolid,Ath Madrid,0,0,D,LIG18,LIG2,Valladolid,,41.652251,-4.724532099999999,64
78,SP1,2019-10-06,17:30,Sociedad,Getafe,1,2,A,LIG16,LIG8,San Sebastian,,43.318334,-1.9812313,63
79,SP1,2019-10-06,20:00,Barcelona,Sevilla,4,0,H,LIG3,LIG15,Barcelona,,41.3850639,2.1734035,70
80,SP1,2019-10-18,20:00,Granada,Osasuna,1,0,H,LIG9,LIG13,Granada,,37.1773363,-3.5985571,66
81,SP1,2019-10-19,12:00,Eibar,Barcelona,0,3,A,LIG6,LIG3,Eibar,,43.1827331,-2.4814679,66
82,SP1,2019-10-19,15:00,Ath Madrid,Valencia,1,1,D,LIG2,LIG17,Madrid,,40.4167754,-3.7037902,56
83,SP1,2019-10-19,17:30,Getafe,Leganes,2,0,H,LIG8,LIG10,Getafe,,40.3082504,-3.7323934,57
84,SP1,2019-10-19,20:00,Mallorca,Real Madrid,1,0,H,LIG12,LIG14,Palma,,39.5696005,2.6501603,72
