Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
I1,1/2/20,19:45,Sassuolo,Roma,4,2,H,SER15,SER13,Sassuolo,
I1,2/2/20,11:30,Juventus,Fiorentina,3,0,H,SER7,SER4,Turin,
I1,2/2/20,14:00,Atalanta,Genoa,2,2,D,SER0,SER5,Bergamo,
I1,2/2/20,14:00,Lazio,Spal,5,1,H,SER8,SER16,Rome,
I1,2/2/20,14:00,Milan,Verona,1,1,D,SER10,SER19,Milan,
I1,2/2/20,17:00,Lecce,Torino,4,0,H,SER9,SER17,Lecce,
I1,2/2/20,19:45,Udinese,Inter,0,2,A,SER18,SER6,Udine,
I1,3/2/20,19:45,Sampdoria,Napoli,2,4,A,SER14,SER11,Genoa,
I1,5/2/20,19:45,Lazio,Verona,0,0,D,SER8,SER19,Rome,
I1,7/2/20,19:45,Roma,Bologna,2,3,A,SER13,SER1,Rome,
I1,8/2/20,14:00,Fiorentina,Atalanta,1,2,A,SER4,SER0,Florence,
I1,8/2/20,17:00,Torino,Sampdoria,1,3,A,SER17,SER14,Turin,
I1,8/2/20,19:45,Verona,Juventus,2,1,H,SER19,SER7,Verona,
I1,9/2/20,11:30,Spal,Sassuolo,1,2,A,SER16,SER15,Ferrara,
I1,9/2/20,14:00,Brescia,Udinese,1,1,D,SER2,SER18,Brescia,
I1,9/2/20,14:00,Genoa,Cagliari,1,0,H,SER5,SER3,Genoa,
I1,9/2/20,14:00,Napoli,Lecce,2,3,A,SER11,SER9,Naples,
I1,9/2/20,17:00,Parma,Lazio,0,1,A,SER12,SER8,Parma,
I1,9/2/20,19:45,Inter,Milan,4,2,H,SER6,SER10,Milan,
I1,15/02/2020,14:00,Lecce,Spal,2,1,H,SER9,SER16,Lecce,
I1,15/02/2020,17:00,Bologna,Genoa,0,3,A,SER1,SER5,Bologna,
I1,15/02/2020,19:45,Atalanta,Roma,2,1,H,SER0,SER13,Bergamo,
I1,16/02/2020,11:30,Udinese,Verona,0,0,D,SER18,SER19,Udine,
I1,16/02/2020,14:00,Juventus,Brescia,2,0,H,SER7,SER2,Turin,
I1,16/02/2020,14:00,Sampdoria,Fiorentina,1,5,A,SER14,SER4,Genoa,
