Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
D1,2/11/19,14:30,RB Leipzig,Mainz,8,0,H,BUN13,BUN10,Leipzig,
D1,2/11/19,14:30,Werder Bremen,Freiburg,2,2,D,BUN16,BUN6,Bremen,
D1,2/11/19,17:30,Union Berlin,Hertha,1,0,H,BUN15,BUN7,Berlin,
D1,3/11/19,14:30,Fortuna Dusseldorf,FC Koln,2,0,H,BUN5,BUN4,Dusseldorf,
D1,3/11/19,17:00,Augsburg,Schalke 04,2,3,A,BUN0,BUN14,Augsburg,
D1,8/11/19,19:30,FC Koln,Hoffenheim,1,2,A,BUN4,BUN8,Cologne,
D1,9/11/19,14:30,Hertha,RB Leipzig,2,4,A,BUN7,BUN13,Berlin,
D1,9/11/19,14:30,Mainz,Union Berlin,2,3,A,BUN10,BUN15,Mainz,
D1,9/11/19,14:30,Paderborn,Augsburg,0,1,A,BUN12,BUN0,Paderborn,
D1,9/11/19,14:30,Schalke 04,Fortuna Dusseldorf,3,3,D,BUN14,BUN5,Gelsenkirchen,
D1,9/11/19,17:30,Bayern Munich,Dortmund,4,0,H,BUN1,BUN2,Munich,
D1,10/11/19,12:30,M'gladbach,Werder Bremen,3,1,H,BUN11,BUN16,Monchengladbach,
D1,10/11/19,14:30,Wolfsburg,Leverkusen,0,2,A,BUN17,BUN9,Wolfsburg,
D1,10/11/19,17:00,Freiburg,Ein Frankfurt,1,0,H,BUN6,BUN3,Freiburg,
D1,22/11/2019,19:30,Dortmund,Paderborn,3,3,D,BUN2,BUN12,Dortmund,
D1,23/11/2019,14:30,Ein Frankfurt,Wolfsburg,0,2,A,BUN3,BUN17,Frankfurt,
D1,23/11/2019,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,A,BUN5,BUN1,Dusseldorf,
D1,23/11/2019,14:30,Leverkusen,Freiburg,1,1,D,BUN9,BUN6,Leverkusen,
D1,23/11/2019,14:30,Union Berlin,M'gladbach,2,0,H,BUN15,BUN11,Berlin,
D1,23/11/2019,14:30,Werder Bremen,Schalke 04,1,2,A,BUN16,BUN14,Bremen,
D1,23/11/2019,17:30,RB Leipzig,FC Koln,4,1,H,BUN13,BUN4,Leipzig,
D1,24/11/2019,14:30,Augsburg,Hertha,4,0,H,BUN0,BUN7,Augsburg,
D1,24/11/2019,17:00,Hoffenheim,Mainz,1,5,A,BUN8,BUN10,Sinsheim,
D1,29/11/2019,19:30,Schalke 04,Union Berlin,2,1,H,BUN14,BUN15,Gelsenkirchen,
D1,30/11/2019,14:30,FC Koln,Augsburg,1,1,D,BUN4,BUN0,Cologne,
D1,30/11/2019,14:30,Hertha,Dortmund,1,2,A,BUN7,BUN2,Berlin,
D1,30/11/2019,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,D,BUN8,BUN5,Sinsheim,
D1,30/11/2019,14:30,Paderborn,RB Leipzig,2,3,A,BUN12,BUN13,Paderborn,
D1,30/11/2019,17:30,Bayern Munich,Leverkusen,1,2,A,BUN1,BUN9,Munich,
D1,1/12/19,14:30,M'gladbach,Freiburg,4,2,H,BUN11,BUN6,Monchengladbach,
D1,1/12/19,17:00,Wolfsburg,Werder Bremen,2,3,A,BUN17,BUN16,Wolfsburg,
D1,2/12/19,19:30,Mainz,Ein Frankfurt,2,1,H,BUN10,BUN3,Mainz,
D1,6/12/19,19:30,Ein Frankfurt,Hertha,2,2,D,BUN3,BUN7,Frankfurt,
D1,7/12/19,14:30,Augsburg,Mainz,2,1,H,BUN0,BUN10,Augsburg,
D1,7/12/19,14:30,Dortmund,Fortuna Dusseldorf,5,0,H,BUN2,BUN5,Dortmund,
D1,7/12/19,14:30,Freiburg,Wolfsburg,1,0,H,BUN6,BUN17,Freiburg,
D1,7/12/19,14:30,M'gladbach,Bayern Munich,2,1,H,BUN11,BUN1,Monchengladbach,
D1,7/12/19,14:30,RB Leipzig,Hoffenheim,3,1,H,BUN13,BUN8,Leipzig,
D1,7/12/19,17:30,Leverkusen,Schalke 04,2,1,H,BUN9,BUN14,Leverkusen,
