,Div,Team,Team ID,Date,Opponent,Attendance
152,E0,Everton,EPL7,15/9/2019,AFC Bournemouth,10416.0
153,E0,Everton,EPL7,22/9/2019,Birmingham City Women,
154,E0,Everton,EPL7,24/9/2019,Sheffield Wednesday,21485.0
155,E0,Everton,EPL7,5/10/2019,Burnley,20650.0
156,E0,Everton,EPL7,26/10/2019,Brighton & Hove Albion,30529.0
157,E0,Everton,EPL7,9/11/2019,Southampton,29754.0
158,E0,Everton,EPL7,1/12/2019,Leicester City,32144.0
159,E0,Everton,EPL7,4/12/2019,Liverpool,53094.0
160,E0,Everton,EPL7,15/12/2019,Manchester United,63328.0
161,E0,Everton,EPL7,28/12/2019,Newcastle United,52211.0
162,E0,Everton,EPL7,1/1/2020,Manchester City,54407.0
163,E0,Everton,EPL7,5/1/2020,Liverpool,52583.0
164,E0,Everton,EPL7,18/1/2020,West Ham United,59915.0
165,E0,Everton,EPL7,28/1/2020,City of Liverpool,621.0
166,E0,Everton,EPL7,1/2/2020,Watford,21229.0
167,E0,Everton,EPL7,23/2/2020,Arsenal,60296.0
168,E0,Everton,EPL7,8/3/2020,Chelsea,40694.0
169,E0,Everton,EPL7,24/6/2020,Norwich City,
170,E0,Everton,EPL7,6/7/2020,Tottenham Hotspur,
171,E0,Everton,EPL7,12/7/2020,Wolverhampton Wanderers,
172,E0,Leicester,EPL8,18/8/2019,Chelsea,40629.0
173,E0,Leicester,EPL8,24/8/2019,Sheffield United,30079.0
174,E0,Leicester,EPL8,28/8/2019,Newcastle United,22727.0
175,E0,Leicester,EPL8,14/9/2019,Manchester United,73689.0
176,E0,Leicester,EPL8,24/9/2019,Luton Town,8260.0
177,E0,Leicester,EPL8,5/10/2019,Liverpool,
178,E0,Leicester,EPL8,25/10/2019,Southampton,28762.0
179,E0,Leicester,EPL8,29/10/2019,Burton Albion,6186.0
180,E0,Leicester,EPL8,3/11/2019,Crystal Palace,25480.0
181,E0,Leicester,EPL8,23/11/2019,Brighton & Hove Albion,30640.0
182,E0,Leicester,EPL8,8/12/2019,Aston Villa,41908.0
183,E0,Leicester,EPL8,18/12/2019,Everton,39027.0
184,E0,Leicester,EPL8,21/12/2019,Manchester City,54415.0
185,E0,Leicester,EPL8,28/12/2019,West Ham United,59919.0
186,E0,Leicester,EPL8,1/1/2020,Newcastle United,52178.0
187,E0,Leicester,EPL8,19/1/2020,Burnley,19788.0
188,E0,Leicester,EPL8,25/1/2020,Brentford,12221.0
189,E0,Leicester,EPL8,28/1/2020,Aston Villa,39300.0
190,E0,Leicester,EPL8,14/2/2020,Wolverhampton Wanderers,31682.0
191,E0,Leicester,EPL8,28/2/2020,Norwich City,27010.0
192,E0,Leicester,EPL8,20/6/2020,Watford,
193,E0,Leicester,EPL8,1/7/2020,Everton,
194,E0,Leicester,EPL8,7/7/2020,Arsenal,
195,E0,Leicester,EPL8,12/7/2020,AFC Bournemouth,
196,E0,Liverpool,EPL9,17/8/2019,Southampton,31712.0
197,E0,Liverpool,EPL9,31/8/2019,Burnley,21762.0
198,E0,Liverpool,EPL9,17/9/2019,Napoli,38878.0
199,E0,Liverpool,EPL9,22/9/2019,Chelsea,40638.0
200,E0,Liverpool,EPL9,25/9/2019,Milton Keynes Dons,28521.0
201,E0,Liverpool,EPL9,28/9/2019,Sheffield United,31774.0
202,E0,Liverpool,EPL9,20/10/2019,Manchester United,73737.0
203,E0,Liverpool,EPL9,23/10/2019,KRC Genk,19626.0
204,E0,Liverpool,EPL9,2/11/2019,Aston Villa,41878.0
205,E0,Liverpool,EPL9,23/11/2019,Crystal Palace,25486.0
206,E0,Liverpool,EPL9,7/12/2019,AFC Bournemouth,10832.0
207,E0,Liverpool,EPL9,10/12/2019,SV Red Bull Salzburg,
208,E0,Liverpool,EPL9,17/12/2019,Aston Villa,30323.0
209,E0,Liverpool,EPL9,18/12/2019,Monterrey,
210,E0,Liverpool,EPL9,21/12/2019,Monterrey,
211,E0,Liverpool,EPL9,26/12/2019,Leicester City,32211.0
212,E0,Liverpool,EPL9,11/1/2020,Tottenham Hotspur,61023.0
213,E0,Liverpool,EPL9,23/1/2020,Wolverhampton Wanderers,31746.0
214,E0,Liverpool,EPL9,26/1/2020,Shrewsbury Town,
215,E0,Liverpool,EPL9,29/1/2020,West Ham United,59959.0
216,E0,Liverpool,EPL9,15/2/2020,Norwich City,27110.0
217,E0,Liverpool,EPL9,18/2/2020,Atlético Madrid,67443.0
218,E0,Liverpool,EPL9,29/2/2020,Watford,21634.0
219,E0,Liverpool,EPL9,3/3/2020,Chelsea,40103.0
220,E0,Liverpool,EPL9,21/6/2020,Everton,
221,E0,Liverpool,EPL9,2/7/2020,Manchester City,
222,E0,Liverpool,EPL9,8/7/2020,Brighton & Hove Albion,
223,E0,Liverpool,EPL9,15/7/2020,Arsenal,
224,E0,Man_City,EPL10,10/8/2019,West Ham United,59870.0
225,E0,Man_City,EPL10,25/8/2019,AFC Bournemouth,10486.0
226,E0,Man_City,EPL10,14/9/2019,Norwich City,27035.0
227,E0,Man_City,EPL10,18/9/2019,Shakhtar Donetsk,36675.0
228,E0,Man_City,EPL10,24/9/2019,Preston North End,22025.0
229,E0,Man_City,EPL10,28/9/2019,Everton,39222.0
230,E0,Man_City,EPL10,19/10/2019,Crystal Palace,25480.0
231,E0,Man_City,EPL10,6/11/2019,Atalanta,32147.0
232,E0,Man_City,EPL10,10/11/2019,Liverpool,53324.0
233,E0,Man_City,EPL10,30/11/2019,Newcastle United,49937.0
234,E0,Man_City,EPL10,3/12/2019,Burnley,20101.0
235,E0,Man_City,EPL10,11/12/2019,Dinamo Zagreb,29385.0
236,E0,Man_City,EPL10,15/12/2019,Arsenal,60031.0
237,E0,Man_City,EPL10,18/12/2019,Oxford United,11817.0
