Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
SP1,26/10/2019,17:30,Valladolid,Eibar,2,0,H,LIG18,LIG6,Valladolid,
SP1,26/10/2019,20:00,Ath Madrid,Ath Bilbao,2,0,H,LIG2,LIG1,Madrid,
SP1,27/10/2019,11:00,Celta,Sociedad,0,1,A,LIG5,LIG16,Vigo,
SP1,27/10/2019,13:00,Granada,Betis,1,0,H,LIG9,LIG4,Granada,
SP1,27/10/2019,15:00,Levante,Espanol,0,1,A,LIG11,LIG7,Valencia,
SP1,27/10/2019,17:30,Sevilla,Getafe,2,0,H,LIG15,LIG8,Seville,
SP1,27/10/2019,20:00,Osasuna,Valencia,3,1,H,LIG13,LIG17,Pamplona,
SP1,29/10/2019,18:00,Alaves,Ath Madrid,1,1,D,LIG0,LIG2,Vitoria-Gasteiz,
SP1,29/10/2019,20:15,Barcelona,Valladolid,5,1,H,LIG3,LIG18,Barcelona,
SP1,30/10/2019,18:00,Sociedad,Levante,1,2,A,LIG16,LIG11,San Sebastian,
SP1,30/10/2019,18:00,Valencia,Sevilla,1,1,D,LIG17,LIG15,Valencia,
SP1,30/10/2019,19:00,Ath Bilbao,Espanol,3,0,H,LIG1,LIG7,Bilbao,
SP1,30/10/2019,20:00,Betis,Celta,2,1,H,LIG4,LIG5,Seville,
SP1,30/10/2019,20:15,Real Madrid,Leganes,5,0,H,LIG14,LIG10,Madrid,
SP1,31/10/2019,18:00,Eibar,Villarreal,2,1,H,LIG6,LIG19,Eibar,
SP1,31/10/2019,18:00,Mallorca,Osasuna,2,2,D,LIG12,LIG13,Palma,
SP1,31/10/2019,20:15,Getafe,Granada,3,1,H,LIG8,LIG9,Getafe,
SP1,2/11/19,12:00,Espanol,Valencia,1,2,A,LIG7,LIG17,Barcelona,
SP1,2/11/19,15:00,Levante,Barcelona,3,1,H,LIG11,LIG3,Valencia,
SP1,2/11/19,17:30,Sevilla,Ath Madrid,1,1,D,LIG15,LIG2,Seville,
