Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
D1,2020-01-18,14:30,Mainz,Freiburg,1,2,A,BUN10,BUN6,Mainz,BUN10,SC Freiburg,"23,138"
D1,2020-01-18,17:30,RB Leipzig,Union Berlin,3,1,H,BUN13,BUN15,Leipzig,BUN13,1. FC Union Berlin,"42,146"
D1,2020-01-18,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,A,BUN5,BUN16,Dusseldorf,BUN5,Werder Bremen,"46,000"
D1,2020-01-18,14:30,Augsburg,Dortmund,3,5,A,BUN0,BUN2,Augsburg,BUN0,Borussia Dortmund,"30,660"
D1,2020-01-18,14:30,Hoffenheim,Ein Frankfurt,1,2,A,BUN8,BUN3,Sinsheim,BUN8,Eintracht Frankfurt,"29,610"
D1,2020-01-18,14:30,FC Koln,Wolfsburg,3,1,H,BUN4,BUN17,Cologne,BUN4,VfL Wolfsburg,"49,100"
D1,2020-01-19,17:00,Paderborn,Leverkusen,1,4,A,BUN12,BUN9,Paderborn,BUN12,Bayer 04 Leverkusen,"14,889"
D1,2020-01-19,14:30,Hertha,Bayern Munich,0,4,A,BUN7,BUN1,Berlin,BUN7,Bayern Munich,"74,667"
D1,2020-01-24,19:30,Dortmund,FC Koln,5,1,H,BUN2,BUN4,Dortmund,BUN2,1. FC Köln,"81,365"
D1,2020-01-25,14:30,Union Berlin,Augsburg,2,0,H,BUN15,BUN0,Berlin,BUN15,FC Augsburg,"22,012"
D1,2020-01-25,14:30,Ein Frankfurt,RB Leipzig,2,0,H,BUN3,BUN13,Frankfurt,BUN3,RB Leipzig,"50,300"
D1,2020-01-25,17:30,Bayern Munich,Schalke 04,5,0,H,BUN1,BUN14,Munich,BUN1,FC Schalke 04,"75,000"
D1,2020-01-25,14:30,Wolfsburg,Hertha,1,2,A,BUN17,BUN7,Wolfsburg,BUN17,Hertha Berlin,"24,894"
D1,2020-01-25,14:30,M'gladbach,Mainz,3,1,H,BUN11,BUN10,Monchengladbach,BUN11,Mainz 05,"49,175"
D1,2020-01-25,14:30,Freiburg,Paderborn,0,2,A,BUN6,BUN12,Freiburg,BUN6,SC Paderborn 07,"23,500"
D1,2020-01-26,17:00,Leverkusen,Fortuna Dusseldorf,3,0,H,BUN9,BUN5,Leverkusen,BUN9,Fortuna Düsseldorf,"26,250"
D1,2020-01-26,14:30,Werder Bremen,Hoffenheim,0,3,A,BUN16,BUN8,Bremen,BUN16,1899 Hoffenheim,"40,000"
D1,2020-01-31,19:30,Hertha,Schalke 04,0,0,D,BUN7,BUN14,Berlin,BUN7,FC Schalke 04,"47,863"
D1,2020-02-01,14:30,Hoffenheim,Leverkusen,2,1,H,BUN8,BUN9,Sinsheim,BUN8,Bayer 04 Leverkusen,"24,489"
D1,2020-02-01,14:30,Dortmund,Union Berlin,5,0,H,BUN2,BUN15,Dortmund,BUN2,1. FC Union Berlin,"81,365"
