,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
107,D1,2019-11-24,17:00,Hoffenheim,Mainz,1,5,A,BUN8,BUN10,Sinsheim,,49.2488637,8.8884905,44
108,D1,2019-11-29,19:30,Schalke 04,Union Berlin,2,1,H,BUN14,BUN15,Gelsenkirchen,,51.517744,7.085717199999999,45
109,D1,2019-11-30,14:30,FC Koln,Augsburg,1,1,D,BUN4,BUN0,Cologne,,50.937531,6.9602786,44
110,D1,2019-11-30,14:30,Hertha,Dortmund,1,2,A,BUN7,BUN2,Berlin,,52.52000659999999,13.404954,37
111,D1,2019-11-30,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,D,BUN8,BUN5,Sinsheim,,49.2488637,8.8884905,44
112,D1,2019-11-30,14:30,Paderborn,RB Leipzig,2,3,A,BUN12,BUN13,Paderborn,,51.7189205,8.757509299999999,36
113,D1,2019-11-30,17:30,Bayern Munich,Leverkusen,1,2,A,BUN1,BUN9,Munich,,48.1351253,11.5819805,38
114,D1,2019-12-01,14:30,Gladbach,Freiburg,4,2,H,BUN11,BUN6,Monchengladbach,,51.1804572,6.4428041,39
115,D1,2019-12-01,17:00,Wolfsburg,Werder Bremen,2,3,A,BUN17,BUN16,Wolfsburg,,52.4226503,10.7865461,36
116,D1,2019-12-02,19:30,Mainz,Ein Frankfurt,2,1,H,BUN10,BUN3,Mainz,,49.9928617,8.2472526,39
117,D1,2019-12-06,19:30,Ein Frankfurt,Hertha,2,2,D,BUN3,BUN7,Frankfurt,,50.1109221,8.6821267,36
118,D1,2019-12-07,14:30,Augsburg,Mainz,2,1,H,BUN0,BUN10,Augsburg,,48.3705449,10.89779,43
119,D1,2019-12-07,14:30,Dortmund,Fortuna Dusseldorf,5,0,H,BUN2,BUN5,Dortmund,,51.5135872,7.465298100000001,46
120,D1,2019-12-07,14:30,Freiburg,Wolfsburg,1,0,H,BUN6,BUN17,Freiburg,,47.9990077,7.842104299999999,43
121,D1,2019-12-07,14:30,Gladbach,Bayern Munich,2,1,H,BUN11,BUN1,Monchengladbach,,51.1804572,6.4428041,47
122,D1,2019-12-07,14:30,RB Leipzig,Hoffenheim,3,1,H,BUN13,BUN8,Leipzig,,51.3396955,12.3730747,47
123,D1,2019-12-07,17:30,Leverkusen,Schalke 04,2,1,H,BUN9,BUN14,Leverkusen,,51.04592479999999,7.0192196,46
124,D1,2019-12-08,14:30,Union Berlin,FC Koln,2,0,H,BUN15,BUN4,Berlin,,52.52000659999999,13.404954,47
125,D1,2019-12-08,17:00,Werder Bremen,Paderborn,0,1,A,BUN16,BUN12,Bremen,,53.07929619999999,8.8016936,48
126,D1,2019-12-13,19:30,Hoffenheim,Augsburg,2,4,A,BUN8,BUN0,Sinsheim,,49.2488637,8.8884905,41
127,D1,2019-12-14,14:30,Bayern Munich,Werder Bremen,6,1,H,BUN1,BUN16,Munich,,48.1351253,11.5819805,41
128,D1,2019-12-14,14:30,FC Koln,Leverkusen,2,0,H,BUN4,BUN9,Cologne,,50.937531,6.9602786,44
129,D1,2019-12-14,14:30,Hertha,Freiburg,1,0,H,BUN7,BUN6,Berlin,,52.52000659999999,13.404954,40
130,D1,2019-12-14,14:30,Mainz,Dortmund,0,4,A,BUN10,BUN2,Mainz,,49.9928617,8.2472526,44
131,D1,2019-12-14,14:30,Paderborn,Union Berlin,1,1,D,BUN12,BUN15,Paderborn,,51.7189205,8.757509299999999,39
132,D1,2019-12-14,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,A,BUN5,BUN13,Dusseldorf,,51.2277411,6.7734556,44
133,D1,2019-12-15,14:30,Wolfsburg,Gladbach,2,1,H,BUN17,BUN11,Wolfsburg,,52.4226503,10.7865461,43
134,D1,2019-12-15,17:00,Schalke 04,Ein Frankfurt,1,0,H,BUN14,BUN3,Gelsenkirchen,,51.517744,7.085717199999999,46
135,D1,2019-12-17,17:30,Werder Bremen,Mainz,0,5,A,BUN16,BUN10,Bremen,,53.07929619999999,8.8016936,50
136,D1,2019-12-17,19:30,Augsburg,Fortuna Dusseldorf,3,0,H,BUN0,BUN5,Augsburg,,48.3705449,10.89779,47
137,D1,2019-12-17,19:30,Dortmund,RB Leipzig,3,3,D,BUN2,BUN13,Dortmund,,51.5135872,7.465298100000001,54
138,D1,2019-12-17,19:30,Union Berlin,Hoffenheim,0,2,A,BUN15,BUN8,Berlin,,52.52000659999999,13.404954,49
139,D1,2019-12-18,17:30,Leverkusen,Hertha,0,1,A,BUN9,BUN7,Leverkusen,,51.04592479999999,7.0192196,48
140,D1,2019-12-18,19:30,Ein Frankfurt,FC Koln,2,4,A,BUN3,BUN4,Frankfurt,,50.1109221,8.6821267,50
141,D1,2019-12-18,19:30,Freiburg,Bayern Munich,1,3,A,BUN6,BUN1,Freiburg,,47.9990077,7.842104299999999,50
142,D1,2019-12-18,19:30,Gladbach,Paderborn,2,0,H,BUN11,BUN12,Monchengladbach,,51.1804572,6.4428041,46
143,D1,2019-12-18,19:30,Wolfsburg,Schalke 04,1,1,D,BUN17,BUN14,Wolfsburg,,52.4226503,10.7865461,45
144,D1,2019-12-20,19:30,Hoffenheim,Dortmund,2,1,H,BUN8,BUN2,Sinsheim,,49.2488637,8.8884905,46
145,D1,2019-12-21,14:30,Bayern Munich,Wolfsburg,2,0,H,BUN1,BUN17,Munich,,48.1351253,11.5819805,43
146,D1,2019-12-21,14:30,FC Koln,Werder Bremen,1,0,H,BUN4,BUN16,Cologne,,50.937531,6.9602786,46
147,D1,2019-12-21,14:30,Mainz,Leverkusen,0,1,A,BUN10,BUN9,Mainz,,49.9928617,8.2472526,44
148,D1,2019-12-21,14:30,RB Leipzig,Augsburg,3,1,H,BUN13,BUN0,Leipzig,,51.3396955,12.3730747,45
149,D1,2019-12-21,14:30,Schalke 04,Freiburg,2,2,D,BUN14,BUN6,Gelsenkirchen,,51.517744,7.085717199999999,46
150,D1,2019-12-21,17:30,Hertha,Gladbach,0,0,D,BUN7,BUN11,Berlin,,52.52000659999999,13.404954,47
151,D1,2019-12-22,14:30,Fortuna Dusseldorf,Union Berlin,2,1,H,BUN5,BUN15,Dusseldorf,,51.2277411,6.7734556,48
152,D1,2019-12-22,17:00,Paderborn,Ein Frankfurt,2,1,H,BUN12,BUN3,Paderborn,,51.7189205,8.757509299999999,44
153,D1,2020-01-17,19:30,Schalke 04,Gladbach,2,0,H,BUN14,BUN11,Gelsenkirchen,,51.517744,7.085717199999999,48
154,D1,2020-01-18,14:30,Augsburg,Dortmund,3,5,A,BUN0,BUN2,Augsburg,,48.3705449,10.89779,38
155,D1,2020-01-18,14:30,FC Koln,Wolfsburg,3,1,H,BUN4,BUN17,Cologne,,50.937531,6.9602786,42
156,D1,2020-01-18,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,A,BUN5,BUN16,Dusseldorf,,51.2277411,6.7734556,42
157,D1,2020-01-18,14:30,Hoffenheim,Ein Frankfurt,1,2,A,BUN8,BUN3,Sinsheim,,49.2488637,8.8884905,41
158,D1,2020-01-18,14:30,Mainz,Freiburg,1,2,A,BUN10,BUN6,Mainz,,49.9928617,8.2472526,41
159,D1,2020-01-18,17:30,RB Leipzig,Union Berlin,3,1,H,BUN13,BUN15,Leipzig,,51.3396955,12.3730747,41
160,D1,2020-01-19,14:30,Hertha,Bayern Munich,0,4,A,BUN7,BUN1,Berlin,,52.52000659999999,13.404954,39
